# Frozen export for the dashboard. Exported 2026-08-05 from the backtest notebook (private), frozen 2026-07-29.
# Columns: QLD_px = rebased total-return index, QLD_ret = daily return, Signal_alloc, Effective_alloc,
#   New_ret = E2 daily strategy return.
# Derived aggregates only (rebased index / rule outputs); no raw research inputs. NEVER regenerated by automation.
# Engine-vs-backtest verification: tests/test_signal_reference.py (exact match on every comparable day).
Period,QLD_px,QLD_ret,Signal_alloc,Effective_alloc,New_ret
2006-11-17,1.2484,-0.00215810087123347,,,
2006-11-20,1.2532,0.003844921499519538,,,
2006-11-21,1.2566,0.002713054580274266,,,
2006-11-22,1.2724,0.01257361133216617,,,
2006-11-24,1.2643,-0.006365922665828361,,,
2006-11-27,1.2074,-0.04500514118484533,,,
2006-11-28,1.2109,0.00289879079012767,,,
2006-11-29,1.2307,0.0163514741101658,,,
2006-11-30,1.2269,-0.003087673681644421,,,
2006-12-01,1.2105,-0.01336702257722733,,,
2006-12-04,1.2409,0.02511358942585717,,,
2006-12-05,1.2469,0.004835200257877315,,,
2006-12-06,1.2378,-0.007298099286229709,,,
2006-12-07,1.2075,-0.0244789142026175,,,
2006-12-08,1.2198,0.0101863354037266,,,
2006-12-11,1.2293,0.007788161993769416,,,
2006-12-12,1.2132,-0.0130968844057594,,,
2006-12-13,1.2164,0.002637652489284381,,,
2006-12-14,1.2423,0.02129233804669517,,,
2006-12-15,1.2504,0.006520164211543111,,,
2006-12-18,1.2218,-0.02287268074216242,,,
2006-12-19,1.2171,-0.003846783434277246,,,
2006-12-20,1.2084,-0.007148139018979704,,,
2006-12-21,1.1917,-0.01381992717643155,,,
2006-12-22,1.1693,-0.0187966770160275,,,
2006-12-26,1.1751,0.004960232617805538,,,
2006-12-27,1.1865,0.009701302016849711,,,
2006-12-28,1.1765,-0.008428150021070335,,,
2006-12-29,1.1756,-0.0007649808754782716,,,
2007-01-03,1.1794,0.003232391970057868,,,
2007-01-04,1.2218,0.03595048329659156,,,
2007-01-05,1.2041,-0.01448682272057622,,,
2007-01-08,1.2116,0.006228718544971423,,,
2007-01-09,1.2264,0.01221525255860012,,,
2007-01-10,1.2585,0.02617416829745589,,,
2007-01-11,1.2795,0.01668653158522071,,,
2007-01-12,1.2926,0.01023837436498631,,,
2007-01-16,1.2926,0,,,
2007-01-17,1.2691,-0.01818041157357275,,,
2007-01-18,1.2171,-0.04097391852493881,,,
2007-01-19,1.2208,0.003040013146002885,,,
2007-01-22,1.1968,-0.01965923984272611,,,
2007-01-23,1.1912,-0.004679144385026812,,,
2007-01-24,1.2273,0.03030557421087976,,,
2007-01-25,1.1939,-0.02721421005459146,,,
2007-01-26,1.1856,-0.006952006030655822,,,
2007-01-29,1.1926,0.005904183535762497,,,
2007-01-30,1.1958,0.002683213147744334,,,
2007-01-31,1.2106,0.01237665161398227,,,
2007-02-01,1.212,0.001156451346439935,,,
2007-02-02,1.2225,0.00866336633663356,,,
2007-02-05,1.2183,-0.003435582822085892,,,
2007-02-06,1.2128,-0.004514487400475886,,,
2007-02-07,1.2416,0.0237467018469657,,,
2007-02-08,1.2421,0.0004027061855669256,,,
2007-02-09,1.2033,-0.03123742049754441,,,
2007-02-12,1.1938,-0.0078949555389346,,,
2007-02-13,1.2068,0.0108895962472777,,,
2007-02-14,1.2429,0.02991382167716261,,,
2007-02-15,1.2562,0.01070078043285871,,,
2007-02-16,1.2519,-0.00342302181181342,,,
2007-02-20,1.2665,0.01166227334451619,,,
2007-02-21,1.2747,0.006474536123174168,,,
2007-02-22,1.2882,0.01059072722993659,,,
